Subdomain,IP Address
careerportal.rmit.edu.vn,185.113.243.179
huongnghiep.rmit.edu.vn,192.0.78.235
sslvnpelb21n01.rmit.edu.vn,103.253.91.32
sslprdlb21n02.rmit.edu.vn,103.144.84.155
omeka-dev.rmit.edu.vn,52.187.18.161
surveys.rmit.edu.vn,103.253.91.29
ems-forwarder.rmit.edu.vn,103.253.91.29
industryhub.rmit.edu.vn,103.253.91.29
learning.rmit.edu.vn,103.77.162.8
lms.rmit.edu.vn,103.253.91.29
payments.rmit.edu.vn,104.18.20.88
rbpc.rmit.edu.vn,199.36.158.100
rivercitiesarchive.rmit.edu.vn,103.253.91.29
srms.rmit.edu.vn,4.193.128.124
password-assistance.rmit.edu.vn,Not Found
findaresearcher.rmit.edu.vn,103.253.91.29
sbcsprdap85.rmit.edu.vn,Not Found
sbcsprdap81.rmit.edu.vn,Not Found
srs-docs.rmit.edu.vn,Not Found
teachertalks.rmit.edu.vn,Not Found
libtutorials.rmit.edu.vn,103.253.88.36
sglprdrevrprx01.rmit.edu.vn,103.253.91.29
master-of-global-trade.rmit.edu.vn,171.244.39.11
sglprdalumweb1.rmit.edu.vn,103.253.91.24
ns1.rmit.edu.vn,103.253.91.22
ocs-ng.rmit.edu.vn,Not Found
pnt-wl-drweb5.rmit.edu.vn,Not Found
dns2.rmit.edu.vn,Not Found
ns2.rmit.edu.vn,103.144.84.150
rmitlibraryvn.rmit.edu.vn,Not Found
vpn.rmit.edu.vn,103.253.88.6
sgs-wl-web5.rmit.edu.vn,Not Found
vpn2.rmit.edu.vn,103.253.88.4
sgs-wl-mekong2.rmit.edu.vn,Not Found
sgs-aw-spydus01.rmit.edu.vn,Not Found
sgs-aw-hrapp1.rmit.edu.vn,103.253.88.38
drwprdhrapp01.rmit.edu.vn,210.245.97.71
sgs-wl-omeka.rmit.edu.vn,103.253.88.36
password.rmit.edu.vn,Not Found
sgs-wl-sleapp1.rmit.edu.vn,103.253.88.40
pnt-wl-wcpsvc.rmit.edu.vn,210.245.97.72
pnt-wl-drweb3.rmit.edu.vn,Not Found
english.rmit.edu.vn,103.253.88.35
email.rmit.edu.vn,167.89.123.204
alumninetwork.rmit.edu.vn,103.253.91.24
sgs-wl-dls.rmit.edu.vn,Not Found
sglprdstudlab01.rmit.edu.vn,103.253.91.23
mytimetable.rmit.edu.vn,Not Found
studentlab1.rmit.edu.vn,103.253.91.23
online-archived.rmit.edu.vn,Not Found
democlass.rmit.edu.vn,103.253.88.35
experienceday.rmit.edu.vn,103.253.91.29
apps.rmit.edu.vn,103.253.91.29
ave.rmit.edu.vn,Not Found
blackboard.rmit.edu.vn,103.253.91.29
careerhub.rmit.edu.vn,Not Found
careers.rmit.edu.vn,Not Found
crm.rmit.edu.vn,Not Found
dialin.rmit.edu.vn,Not Found
election.rmit.edu.vn,Not Found
ems.rmit.edu.vn,Not Found
helpdesk.rmit.edu.vn,103.253.91.29
itop.rmit.edu.vn,Not Found
lyncdiscover.rmit.edu.vn,Not Found
mekong.rmit.edu.vn,Not Found
mekong1.rmit.edu.vn,Not Found
minio.rmit.edu.vn,103.253.88.40
myperformance.rmit.edu.vn,103.253.88.38
oes.rmit.edu.vn,103.253.91.29
orsee.rmit.edu.vn,Not Found
sgs-ml-smtp.rmit.edu.vn,103.253.88.4
sgs-wl-web3.rmit.edu.vn,Not Found
sgs-ww-livesrv.rmit.edu.vn,Not Found
sip.rmit.edu.vn,Not Found
skooprdap81.rmit.edu.vn,Not Found
skooprdap85.rmit.edu.vn,Not Found
skypeexternal81.rmit.edu.vn,Not Found
skypeexternal85.rmit.edu.vn,Not Found
sso.rmit.edu.vn,Not Found
staff.rmit.edu.vn,Not Found
wce.rmit.edu.vn,Not Found
webems.rmit.edu.vn,Not Found
sts.rmit.edu.vn,Not Found
autodiscover.rmit.edu.vn,Not Found
hress.rmit.edu.vn,103.253.88.47
sas.rmit.edu.vn,103.253.91.29
pathways.rmit.edu.vn,103.253.88.40
ielts.rmit.edu.vn,Not Found
pe.rmit.edu.vn,Not Found
omeka.rmit.edu.vn,103.253.88.36
typographyvn.rmit.edu.vn,103.253.88.45
dns1.rmit.edu.vn,Not Found
event.rmit.edu.vn,23.236.62.147
ssodr.rmit.edu.vn,Not Found
appsdr.rmit.edu.vn,210.245.97.72
staffdr.rmit.edu.vn,210.245.97.72
emsdr.rmit.edu.vn,210.245.97.72
oesdr.rmit.edu.vn,210.245.97.72
stsstg.rmit.edu.vn,Not Found
crmdr.rmit.edu.vn,Not Found
sgs-wl-studweb.rmit.edu.vn,Not Found
emedia.rmit.edu.vn,Not Found
dlt.rmit.edu.vn,Not Found
design.rmit.edu.vn,Not Found
infosession.rmit.edu.vn,34.149.87.45
chame.rmit.edu.vn,103.221.222.11
rivf2020.rmit.edu.vn,Not Found
rmit.edu.vn,103.253.91.29
etal.rmit.edu.vn,Not Found
rmitenglishevent.rmit.edu.vn,23.236.62.147
mekong2.rmit.edu.vn,Not Found
online.rmit.edu.vn,Not Found
learninglab.rmit.edu.vn,Not Found
dls.rmit.edu.vn,Not Found
library.rmit.edu.vn,103.253.91.29
www.rmit.edu.vn,13.227.254.22
